REF_ID;ORDEMBD;STUDY_AIM;SPECIES;SP_ORIGIN;POP_STATUS;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;LONGITUDE_X;LATITUDE_Y;PRECISION;UC;ANNUAL_TEMP;ANNUAL_RAIN;ALTITUDE;VEG_TYPE;BUFFER_20KM;OLSONECONAME;OLSONG200R;RIBEIROVEGTYPE;BSRS;METHOD;INST_NAME;COL_STRT_MO;COL_STRT_YR;COL_END_MO;COL_END_YR;LTR_EFF;CAM_EFF;SURV_EFF;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_32;OCCUR;Sapajus nigritus;Autochtone;NA;Parque Provincial Caa-Yari;4783;El Soberbio;MISIONES;Argentina;-54.22753333;-26.86963333;Precise;Yes;23.5;1779;514;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;September;2010;NA;NA;6.2 km;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_33;OCCUR;Sapajus nigritus;Autochtone;NA;Ruta 22 a Paso Rosales - Chacra Pauni;na;San Pedro;MISIONES;Argentina;-53.73243333;-26.60163333;Precise;No;24.3;1837;432;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;August;2010;NA;NA;8.3 km;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_34;OCCUR;Sapajus nigritus;Autochtone;NA;Land owned by Arauco S. A. (Valle La Alegria);8550;San Pedro;MISIONES;Argentina;-54.03126667;-26.48731667;Precise;No;23.6;1801;483;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;June;2010;August;2010;NA;NA;2.1 km;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_35;OCCUR;Sapajus nigritus;Autochtone;NA;Farm close to Res. Nat. Cult. Papel Misionero;na;El Soberbio;MISIONES;Argentina;-54.14623333;-27.02021667;Precise;No;23.7;1796;439;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;September;2010;September;2010;NA;NA;3.2 km;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_36;OCCUR;Alouatta guariba;Autochtone;NA;Parque Provincial Cruce Caballero;522;San Pedro;MISIONES;Argentina;-53.99003333;-26.52093333;Precise;Yes;22.7;1863;572;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_37;OCCUR;Alouatta guariba;Autochtone;NA;Tobuna (Tacuaruzu)-farms;na;San Pedro;MISIONES;Argentina;-53.92113333;-26.46593333;Not precise;No;22.6;1885;559;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_38;OCCUR;Alouatta guariba;Autochtone;NA;Tobuna (Picada Japon)-farms;na;San Pedro;MISIONES;Argentina;-53.91268333;-26.48256667;Not precise;No;22.9;1870;560;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_39;OCCUR;Alouatta guariba;Autochtone;NA;Reserva Natural Cultural Papel Misionero;10397;Guarani;MISIONES;Argentina;-54.1761;-26.9837;Not precise;Yes;23.5;1796;480;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_40;OCCUR;Alouatta guariba;Autochtone;NA;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.84446667;-26.42798333;Not precise;Yes;22;1934;616;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;March;2011;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_41;OCCUR;Alouatta guariba;Autochtone;NA;Gramado (Pine plantations of Arauco S. A.);na;San Pedro;MISIONES;Argentina;-54.06846667;-26.55716667;Not precise;No;23.1;1830;584;Pine forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;March;2011;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_42;OCCUR;Alouatta guariba;Autochtone;NA;Farm land (Freitag family);na;Guarani;MISIONES;Argentina;-54.15426667;-27.01938333;Precise;No;23.8;1790;439;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;September;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_43;OCCUR;Alouatta guariba;Autochtone;NA;Parque Provincial Mocona;999;El Soberbio;MISIONES;Argentina;-53.9016;-27.15296667;Precise;Yes;24.9;1780;141;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;July;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_44;OCCUR;Alouatta guariba;Autochtone;NA;Reserva Privada Refugio de Vida Silvestre Yaguaroundi;400;Guarani;MISIONES;Argentina;-54.265;-26.68777778;Not precise;Yes;23.6;1755;525;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;October;2015;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_45;OCCUR;Alouatta guariba;Autochtone;NA;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.84446667;-26.42798333;Precise;Yes;22;1934;616;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;May;2017;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_46;OCCUR;Alouatta caraya;Autochtone;NA;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.84446667;-26.42798333;Precise;Yes;22;1934;616;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;May;2017;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_47;OCCUR;Sapajus nigritus;Autochtone;NA;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.84446667;-26.42798333;Precise;Yes;22;1934;616;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;May;2017;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_48;OCCUR;Alouatta guariba;Autochtone;NA;Farm land (Alberto Pico);na;San Pedro;MISIONES;Argentina;-53.91536667;-26.73776667;Not precise;No;23.2;1855;356;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_49;OCCUR;Sapajus nigritus;Autochtone;NA;Farm land (Alberto Pico);na;San Pedro;MISIONES;Argentina;-53.91536667;-26.73776667;Not precise;No;23.2;1855;356;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
REF0803;Agostini_etal_5;OCCUR;Alouatta caraya;Autochtone;NA;Colonia La Flor;NA;El Soberbio;MISIONES;Argentina;-54.15;-26.98;Precise;No;24.4;1754;396;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;June;2008;June;2008;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_50;OCCUR;Sapajus nigritus;Autochtone;NA;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.84446667;-26.42798333;Not precise;Yes;22;1934;616;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_51;OCCUR;Sapajus nigritus;Autochtone;NA;Ruta 27;na;San Pedro;MISIONES;Argentina;-53.93641667;-26.5569;Not precise;No;22.7;1872;539;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_52;OCCUR;Sapajus nigritus;Autochtone;NA;Agroturismo La Cascada;na;San Pedro;MISIONES;Argentina;-53.94751667;-26.58121667;Not precise;No;22.7;1878;550;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_53;OCCUR;Sapajus nigritus;Autochtone;NA;Gendarmeria Paso Rosales;na;San Pedro;MISIONES;Argentina;-53.7452;-26.61183333;Not precise;No;23.9;1856;423;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_54;OCCUR;Sapajus nigritus;Autochtone;NA;Ruta 27 - establecimiento Luis Techaco;na;San Pedro;MISIONES;Argentina;-53.85011667;-26.59618333;Not precise;No;22.9;1886;501;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
